idservice;name_service;client_idclient
1;TRIPLE-PLAY;9327172
2;TRIPLE-PLAY;6243404
3;TRIPLE-PLAY;5417800
4;TRIPLE-PLAY;8060057
5;TRIPLE-PLAY;4961722
6;TRIPLE-PLAY;5641353
7;TRIPLE-PLAY;5922972
8;TRIPLE-PLAY;8733632
9;TRIPLE-PLAY;5324830
10;TRIPLE-PLAY;5323650
11;TRIPLE-PLAY;7475453
12;TRIPLE-PLAY;4377653
13;TRIPLE-PLAY;5108469
14;TRIPLE-PLAY;8905508
15;TRIPLE-PLAY;9007902
16;TRIPLE-PLAY;9817500
17;TRIPLE-PLAY;7650852
18;TRIPLE-PLAY;5624637
19;TRIPLE-PLAY;6239939
20;TRIPLE-PLAY;4486973
21;TRIPLE-PLAY;5782814
22;TRIPLE-PLAY;6504331
23;TRIPLE-PLAY;5881708
24;TRIPLE-PLAY;9657485
25;DUO-PLAY;7719072
26;DUO-PLAY;5479438
27;DUO-PLAY;5229202
28;DUO-PLAY;6641004
29;DUO-PLAY;7063643
30;DUO-PLAY;4931128
31;DUO-PLAY;6832840
32;DUO-PLAY;5060527
33;DUO-PLAY;8313134
34;DUO-PLAY;8739795
35;DUO-PLAY;6548211
36;DUO-PLAY;8734674
37;DUO-PLAY;9989048
38;DUO-PLAY;7856390
39;DUO-PLAY;8015146
40;DUO-PLAY;4722472
41;DUO-PLAY;9665721
42;DUO-PLAY;6404710
43;DUO-PLAY;6064657
44;DUO-PLAY;5744622
45;DUO-PLAY;7674280
46;DUO-PLAY;6048665
47;DUO-PLAY;5700114
48;DUO-PLAY;6800077
49;TELEFONIA;5932353
50;TELEFONIA;6979989
