idtype_service;service_type;service_idservices
1;INTERNET 60;1
2;INTERNET 120;2
3;INTERNET 200;3
4;INTERNET 300;4
5;INTERNET 60;5
6;INTERNET 120;6
7;INTERNET 200;7
8;INTERNET 300;8
9;INTERNET 60;9
10;INTERNET 120;10
11;INTERNET 200;11
12;INTERNET 300;12
13;INTERNET 60;13
14;INTERNET 120;14
15;INTERNET 200;15
16;INTERNET 300;16
17;INTERNET 60;17
18;INTERNET 120;18
19;INTERNET 200;19
20;INTERNET 300;20
21;INTERNET 60;21
22;INTERNET 120;22
23;INTERNET 200;23
24;INTERNET 300;24
25;VO-IP;1
26;VO-IP;2
27;VO-IP;3
28;VO-IP;4
29;VO-IP;5
30;VO-IP;6
31;VO-IP;7
32;VO-IP;8
33;VO-IP;9
34;VO-IP;10
35;VO-IP;11
36;VO-IP;12
37;VO-IP;13
38;VO-IP;14
39;VO-IP;15
40;VO-IP;16
41;VO-IP;17
42;VO-IP;18
43;VO-IP;19
44;VO-IP;20
45;VO-IP;21
46;VO-IP;22
47;VO-IP;23
48;VO-IP;24
49;TELEVISION HD;1
50;TELEVISION HD+;2
51;TELEVISION HD;3
52;TELEVISION HD+;4
53;TELEVISION HD;5
54;TELEVISION HD+;6
55;TELEVISION HD;7
56;TELEVISION HD+;8
57;TELEVISION HD;9
58;TELEVISION HD+;10
59;TELEVISION HD;11
60;TELEVISION HD+;12
61;TELEVISION HD;13
62;TELEVISION HD+;14
63;TELEVISION HD;15
64;TELEVISION HD+;16
65;TELEVISION HD;17
66;TELEVISION HD+;18
67;TELEVISION HD;19
68;TELEVISION HD+;20
69;TELEVISION HD;21
70;TELEVISION HD+;22
71;TELEVISION HD;23
72;TELEVISION HD+;24
73;INTERNET 60;25
74;INTERNET 120;26
75;INTERNET 200;27
76;INTERNET 300;28
77;INTERNET 60;29
78;INTERNET 120;30
79;INTERNET 200;31
80;INTERNET 300;32
81;INTERNET 60;33
82;INTERNET 120;34
83;INTERNET 200;35
84;INTERNET 300;36
85;INTERNET 60;37
86;INTERNET 120;38
87;INTERNET 200;39
88;INTERNET 300;40
89;INTERNET 60;41
90;INTERNET 120;42
91;INTERNET 200;43
92;INTERNET 300;44
93;INTERNET 60;45
94;INTERNET 120;46
95;INTERNET 200;47
96;INTERNET 300;48
97;TELEVISION HD;25
98;TELEVISION HD+;26
99;TELEVISION HD;27
100;TELEVISION HD+;28
101;TELEVISION HD;29
102;TELEVISION HD+;30
103;TELEVISION HD;31
104;TELEVISION HD+;32
105;TELEVISION HD;33
106;TELEVISION HD+;34
107;TELEVISION HD;35
108;TELEVISION HD+;36
109;TELEVISION HD;37
110;TELEVISION HD+;38
111;TELEVISION HD;39
112;TELEVISION HD+;40
113;TELEVISION HD;41
114;TELEVISION HD+;42
115;TELEVISION HD;43
116;TELEVISION HD+;44
117;TELEVISION HD;45
118;TELEVISION HD+;46
119;TELEVISION HD;47
120;TELEVISION HD+;48
121;VO-IP;49
122;VO-IP;50
